7.7443423 24.320341 26.140284 27.425154 31.202785 38.860104 49.73159 61.684723 72.461433 80.27356 84.556595 85.908951 85.778015 85.858536 87.329224 90.671371 95.085907 99.173782 101.36957 100.59392 96.685219 90.457123 83.693878 78.187294 75.17247 74.917358 76.820663 79.739914 82.124512 81.971237 77.206924 66.911858 54.306091 42.040092 31.840742 24.550823 19.861292 17.352358 10.564391 -0.37564465 0.00045236817 -1.9429506 -13.751976 -25.844282 -36.300297 -44.311123 -50.224102 -54.826435 -58.952084 -63.527836 -68.788361 -74.776543 -80.903969 -86.50164 -90.755318 -93.306519 -94.222 -93.869064 -92.963799 -92.47641 -92.985947 -94.494003 -96.504784 -98.345673 -99.036613 -97.554054 -93.520508 -87.019249 -78.804726 -69.835251 -61.357162 -54.101814 -48.287258 -43.667057 -39.381622 -34.478367 -28.158291 -20.43301 -12.019598 -0.00056181685
24.320341 26.140284 27.425154 31.202785 38.860104 49.73159 61.684723 72.461433 80.27356 84.556595 85.908951 85.778015 85.858536 87.329224 90.671371 95.085907 99.173782 101.36957 100.59392 96.685219 90.457123 83.693878 78.187294 75.17247 74.917358 76.820663 79.739914 82.124512 81.971237 77.206924 66.911858 54.306091 42.040092 31.840742 24.550823 19.861292 17.352358 10.564391 -0.37564465 0.00045236817 -1.9429506 -13.751976 -25.844282 -36.300297 -44.311123 -50.224102 -54.826435 -58.952084 -63.527836 -68.788361 -74.776543 -80.903969 -86.50164 -90.755318 -93.306519 -94.222 -93.869064 -92.963799 -92.47641 -92.985947 -94.494003 -96.504784 -98.345673 -99.036613 -97.554054 -93.520508 -87.019249 -78.804726 -69.835251 -61.357162 -54.101814 -48.287258 -43.667057 -39.381622 -34.478367 -28.158291 -20.43301 -12.019598 -0.00056181685 6.9927216
26.140284 27.425154 31.202785 38.860104 49.73159 61.684723 72.461433 80.27356 84.556595 85.908951 85.778015 85.858536 87.329224 90.671371 95.085907 99.173782 101.36957 100.59392 96.685219 90.457123 83.693878 78.187294 75.17247 74.917358 76.820663 79.739914 82.124512 81.971237 77.206924 66.911858 54.306091 42.040092 31.840742 24.550823 19.861292 17.352358 10.564391 -0.37564465 0.00045236817 -1.9429506 -13.751976 -25.844282 -36.300297 -44.311123 -50.224102 -54.826435 -58.952084 -63.527836 -68.788361 -74.776543 -80.903969 -86.50164 -90.755318 -93.306519 -94.222 -93.869064 -92.963799 -92.47641 -92.985947 -94.494003 -96.504784 -98.345673 -99.036613 -97.554054 -93.520508 -87.019249 -78.804726 -69.835251 -61.357162 -54.101814 -48.287258 -43.667057 -39.381622 -34.478367 -28.158291 -20.43301 -12.019598 -0.00056181685 6.9927216 15.373161
27.425154 31.202785 38.860104 49.73159 61.684723 72.461433 80.27356 84.556595 85.908951 85.778015 85.858536 87.329224 90.671371 95.085907 99.173782 101.36957 100.59392 96.685219 90.457123 83.693878 78.187294 75.17247 74.917358 76.820663 79.739914 82.124512 81.971237 77.206924 66.911858 54.306091 42.040092 31.840742 24.550823 19.861292 17.352358 10.564391 -0.37564465 0.00045236817 -1.9429506 -13.751976 -25.844282 -36.300297 -44.311123 -50.224102 -54.826435 -58.952084 -63.527836 -68.788361 -74.776543 -80.903969 -86.50164 -90.755318 -93.306519 -94.222 -93.869064 -92.963799 -92.47641 -92.985947 -94.494003 -96.504784 -98.345673 -99.036613 -97.554054 -93.520508 -87.019249 -78.804726 -69.835251 -61.357162 -54.101814 -48.287258 -43.667057 -39.381622 -34.478367 -28.158291 -20.43301 -12.019598 -0.00056181685 6.9927216 15.373161 23.589764
31.202785 38.860104 49.73159 61.684723 72.461433 80.27356 84.556595 85.908951 85.778015 85.858536 87.329224 90.671371 95.085907 99.173782 101.36957 100.59392 96.685219 90.457123 83.693878 78.187294 75.17247 74.917358 76.820663 79.739914 82.124512 81.971237 77.206924 66.911858 54.306091 42.040092 31.840742 24.550823 19.861292 17.352358 10.564391 -0.37564465 0.00045236817 -1.9429506 -13.751976 -25.844282 -36.300297 -44.311123 -50.224102 -54.826435 -58.952084 -63.527836 -68.788361 -74.776543 -80.903969 -86.50164 -90.755318 -93.306519 -94.222 -93.869064 -92.963799 -92.47641 -92.985947 -94.494003 -96.504784 -98.345673 -99.036613 -97.554054 -93.520508 -87.019249 -78.804726 -69.835251 -61.357162 -54.101814 -48.287258 -43.667057 -39.381622 -34.478367 -28.158291 -20.43301 -12.019598 -0.00056181685 6.9927216 15.373161 23.589764 30.511221
38.860104 49.73159 61.684723 72.461433 80.27356 84.556595 85.908951 85.778015 85.858536 87.329224 90.671371 95.085907 99.173782 101.36957 100.59392 96.685219 90.457123 83.693878 78.187294 75.17247 74.917358 76.820663 79.739914 82.124512 81.971237 77.206924 66.911858 54.306091 42.040092 31.840742 24.550823 19.861292 17.352358 10.564391 -0.37564465 0.00045236817 -1.9429506 -13.751976 -25.844282 -36.300297 -44.311123 -50.224102 -54.826435 -58.952084 -63.527836 -68.788361 -74.776543 -80.903969 -86.50164 -90.755318 -93.306519 -94.222 -93.869064 -92.963799 -92.47641 -92.985947 -94.494003 -96.504784 -98.345673 -99.036613 -97.554054 -93.520508 -87.019249 -78.804726 -69.835251 -61.357162 -54.101814 -48.287258 -43.667057 -39.381622 -34.478367 -28.158291 -20.43301 -12.019598 -0.00056181685 6.9927216 15.373161 23.589764 30.511221 36.352058
49.73159 61.684723 72.461433 80.27356 84.556595 85.908951 85.778015 85.858536 87.329224 90.671371 95.085907 99.173782 101.36957 100.59392 96.685219 90.457123 83.693878 78.187294 75.17247 74.917358 76.820663 79.739914 82.124512 81.971237 77.206924 66.911858 54.306091 42.040092 31.840742 24.550823 19.861292 17.352358 10.564391 -0.37564465 0.00045236817 -1.9429506 -13.751976 -25.844282 -36.300297 -44.311123 -50.224102 -54.826435 -58.952084 -63.527836 -68.788361 -74.776543 -80.903969 -86.50164 -90.755318 -93.306519 -94.222 -93.869064 -92.963799 -92.47641 -92.985947 -94.494003 -96.504784 -98.345673 -99.036613 -97.554054 -93.520508 -87.019249 -78.804726 -69.835251 -61.357162 -54.101814 -48.287258 -43.667057 -39.381622 -34.478367 -28.158291 -20.43301 -12.019598 -0.00056181685 6.9927216 15.373161 23.589764 30.511221 36.352058 41.751736
61.684723 72.461433 80.27356 84.556595 85.908951 85.778015 85.858536 87.329224 90.671371 95.085907 99.173782 101.36957 100.59392 96.685219 90.457123 83.693878 78.187294 75.17247 74.917358 76.820663 79.739914 82.124512 81.971237 77.206924 66.911858 54.306091 42.040092 31.840742 24.550823 19.861292 17.352358 10.564391 -0.37564465 0.00045236817 -1.9429506 -13.751976 -25.844282 -36.300297 -44.311123 -50.224102 -54.826435 -58.952084 -63.527836 -68.788361 -74.776543 -80.903969 -86.50164 -90.755318 -93.306519 -94.222 -93.869064 -92.963799 -92.47641 -92.985947 -94.494003 -96.504784 -98.345673 -99.036613 -97.554054 -93.520508 -87.019249 -78.804726 -69.835251 -61.357162 -54.101814 -48.287258 -43.667057 -39.381622 -34.478367 -28.158291 -20.43301 -12.019598 -0.00056181685 6.9927216 15.373161 23.589764 30.511221 36.352058 41.751736 47.338543
72.461433 80.27356 84.556595 85.908951 85.778015 85.858536 87.329224 90.671371 95.085907 99.173782 101.36957 100.59392 96.685219 90.457123 83.693878 78.187294 75.17247 74.917358 76.820663 79.739914 82.124512 81.971237 77.206924 66.911858 54.306091 42.040092 31.840742 24.550823 19.861292 17.352358 10.564391 -0.37564465 0.00045236817 -1.9429506 -13.751976 -25.844282 -36.300297 -44.311123 -50.224102 -54.826435 -58.952084 -63.527836 -68.788361 -74.776543 -80.903969 -86.50164 -90.755318 -93.306519 -94.222 -93.869064 -92.963799 -92.47641 -92.985947 -94.494003 -96.504784 -98.345673 -99.036613 -97.554054 -93.520508 -87.019249 -78.804726 -69.835251 -61.357162 -54.101814 -48.287258 -43.667057 -39.381622 -34.478367 -28.158291 -20.43301 -12.019598 -0.00056181685 6.9927216 15.373161 23.589764 30.511221 36.352058 41.751736 47.338543 53.599842
80.27356 84.556595 85.908951 85.778015 85.858536 87.329224 90.671371 95.085907 99.173782 101.36957 100.59392 96.685219 90.457123 83.693878 78.187294 75.17247 74.917358 76.820663 79.739914 82.124512 81.971237 77.206924 66.911858 54.306091 42.040092 31.840742 24.550823 19.861292 17.352358 10.564391 -0.37564465 0.00045236817 -1.9429506 -13.751976 -25.844282 -36.300297 -44.311123 -50.224102 -54.826435 -58.952084 -63.527836 -68.788361 -74.776543 -80.903969 -86.50164 -90.755318 -93.306519 -94.222 -93.869064 -92.963799 -92.47641 -92.985947 -94.494003 -96.504784 -98.345673 -99.036613 -97.554054 -93.520508 -87.019249 -78.804726 -69.835251 -61.357162 -54.101814 -48.287258 -43.667057 -39.381622 -34.478367 -28.158291 -20.43301 -12.019598 -0.00056181685 6.9927216 15.373161 23.589764 30.511221 36.352058 41.751736 47.338543 53.599842 60.476189
84.556595 85.908951 85.778015 85.858536 87.329224 90.671371 95.085907 99.173782 101.36957 100.59392 96.685219 90.457123 83.693878 78.187294 75.17247 74.917358 76.820663 79.739914 82.124512 81.971237 77.206924 66.911858 54.306091 42.040092 31.840742 24.550823 19.861292 17.352358 10.564391 -0.37564465 0.00045236817 -1.9429506 -13.751976 -25.844282 -36.300297 -44.311123 -50.224102 -54.826435 -58.952084 -63.527836 -68.788361 -74.776543 -80.903969 -86.50164 -90.755318 -93.306519 -94.222 -93.869064 -92.963799 -92.47641 -92.985947 -94.494003 -96.504784 -98.345673 -99.036613 -97.554054 -93.520508 -87.019249 -78.804726 -69.835251 -61.357162 -54.101814 -48.287258 -43.667057 -39.381622 -34.478367 -28.158291 -20.43301 -12.019598 -0.00056181685 6.9927216 15.373161 23.589764 30.511221 36.352058 41.751736 47.338543 53.599842 60.476189 67.407921
85.908951 85.778015 85.858536 87.329224 90.671371 95.085907 99.173782 101.36957 100.59392 96.685219 90.457123 83.693878 78.187294 75.17247 74.917358 76.820663 79.739914 82.124512 81.971237 77.206924 66.911858 54.306091 42.040092 31.840742 24.550823 19.861292 17.352358 10.564391 -0.37564465 0.00045236817 -1.9429506 -13.751976 -25.844282 -36.300297 -44.311123 -50.224102 -54.826435 -58.952084 -63.527836 -68.788361 -74.776543 -80.903969 -86.50164 -90.755318 -93.306519 -94.222 -93.869064 -92.963799 -92.47641 -92.985947 -94.494003 -96.504784 -98.345673 -99.036613 -97.554054 -93.520508 -87.019249 -78.804726 -69.835251 -61.357162 -54.101814 -48.287258 -43.667057 -39.381622 -34.478367 -28.158291 -20.43301 -12.019598 -0.00056181685 6.9927216 15.373161 23.589764 30.511221 36.352058 41.751736 47.338543 53.599842 60.476189 67.407921 73.80677
85.778015 85.858536 87.329224 90.671371 95.085907 99.173782 101.36957 100.59392 96.685219 90.457123 83.693878 78.187294 75.17247 74.917358 76.820663 79.739914 82.124512 81.971237 77.206924 66.911858 54.306091 42.040092 31.840742 24.550823 19.861292 17.352358 10.564391 -0.37564465 0.00045236817 -1.9429506 -13.751976 -25.844282 -36.300297 -44.311123 -50.224102 -54.826435 -58.952084 -63.527836 -68.788361 -74.776543 -80.903969 -86.50164 -90.755318 -93.306519 -94.222 -93.869064 -92.963799 -92.47641 -92.985947 -94.494003 -96.504784 -98.345673 -99.036613 -97.554054 -93.520508 -87.019249 -78.804726 -69.835251 -61.357162 -54.101814 -48.287258 -43.667057 -39.381622 -34.478367 -28.158291 -20.43301 -12.019598 -0.00056181685 6.9927216 15.373161 23.589764 30.511221 36.352058 41.751736 47.338543 53.599842 60.476189 67.407921 73.80677 79.154915
85.858536 87.329224 90.671371 95.085907 99.173782 101.36957 100.59392 96.685219 90.457123 83.693878 78.187294 75.17247 74.917358 76.820663 79.739914 82.124512 81.971237 77.206924 66.911858 54.306091 42.040092 31.840742 24.550823 19.861292 17.352358 10.564391 -0.37564465 0.00045236817 -1.9429506 -13.751976 -25.844282 -36.300297 -44.311123 -50.224102 -54.826435 -58.952084 -63.527836 -68.788361 -74.776543 -80.903969 -86.50164 -90.755318 -93.306519 -94.222 -93.869064 -92.963799 -92.47641 -92.985947 -94.494003 -96.504784 -98.345673 -99.036613 -97.554054 -93.520508 -87.019249 -78.804726 -69.835251 -61.357162 -54.101814 -48.287258 -43.667057 -39.381622 -34.478367 -28.158291 -20.43301 -12.019598 -0.00056181685 6.9927216 15.373161 23.589764 30.511221 36.352058 41.751736 47.338543 53.599842 60.476189 67.407921 73.80677 79.154915 83.250084
87.329224 90.671371 95.085907 99.173782 101.36957 100.59392 96.685219 90.457123 83.693878 78.187294 75.17247 74.917358 76.820663 79.739914 82.124512 81.971237 77.206924 66.911858 54.306091 42.040092 31.840742 24.550823 19.861292 17.352358 10.564391 -0.37564465 0.00045236817 -1.9429506 -13.751976 -25.844282 -36.300297 -44.311123 -50.224102 -54.826435 -58.952084 -63.527836 -68.788361 -74.776543 -80.903969 -86.50164 -90.755318 -93.306519 -94.222 -93.869064 -92.963799 -92.47641 -92.985947 -94.494003 -96.504784 -98.345673 -99.036613 -97.554054 -93.520508 -87.019249 -78.804726 -69.835251 -61.357162 -54.101814 -48.287258 -43.667057 -39.381622 -34.478367 -28.158291 -20.43301 -12.019598 -0.00056181685 6.9927216 15.373161 23.589764 30.511221 36.352058 41.751736 47.338543 53.599842 60.476189 67.407921 73.80677 79.154915 83.250084 86.231728
90.671371 95.085907 99.173782 101.36957 100.59392 96.685219 90.457123 83.693878 78.187294 75.17247 74.917358 76.820663 79.739914 82.124512 81.971237 77.206924 66.911858 54.306091 42.040092 31.840742 24.550823 19.861292 17.352358 10.564391 -0.37564465 0.00045236817 -1.9429506 -13.751976 -25.844282 -36.300297 -44.311123 -50.224102 -54.826435 -58.952084 -63.527836 -68.788361 -74.776543 -80.903969 -86.50164 -90.755318 -93.306519 -94.222 -93.869064 -92.963799 -92.47641 -92.985947 -94.494003 -96.504784 -98.345673 -99.036613 -97.554054 -93.520508 -87.019249 -78.804726 -69.835251 -61.357162 -54.101814 -48.287258 -43.667057 -39.381622 -34.478367 -28.158291 -20.43301 -12.019598 -0.00056181685 6.9927216 15.373161 23.589764 30.511221 36.352058 41.751736 47.338543 53.599842 60.476189 67.407921 73.80677 79.154915 83.250084 86.231728 88.603897
95.085907 99.173782 101.36957 100.59392 96.685219 90.457123 83.693878 78.187294 75.17247 74.917358 76.820663 79.739914 82.124512 81.971237 77.206924 66.911858 54.306091 42.040092 31.840742 24.550823 19.861292 17.352358 10.564391 -0.37564465 0.00045236817 -1.9429506 -13.751976 -25.844282 -36.300297 -44.311123 -50.224102 -54.826435 -58.952084 -63.527836 -68.788361 -74.776543 -80.903969 -86.50164 -90.755318 -93.306519 -94.222 -93.869064 -92.963799 -92.47641 -92.985947 -94.494003 -96.504784 -98.345673 -99.036613 -97.554054 -93.520508 -87.019249 -78.804726 -69.835251 -61.357162 -54.101814 -48.287258 -43.667057 -39.381622 -34.478367 -28.158291 -20.43301 -12.019598 -0.00056181685 6.9927216 15.373161 23.589764 30.511221 36.352058 41.751736 47.338543 53.599842 60.476189 67.407921 73.80677 79.154915 83.250084 86.231728 88.603897 90.80442
99.173782 101.36957 100.59392 96.685219 90.457123 83.693878 78.187294 75.17247 74.917358 76.820663 79.739914 82.124512 81.971237 77.206924 66.911858 54.306091 42.040092 31.840742 24.550823 19.861292 17.352358 10.564391 -0.37564465 0.00045236817 -1.9429506 -13.751976 -25.844282 -36.300297 -44.311123 -50.224102 -54.826435 -58.952084 -63.527836 -68.788361 -74.776543 -80.903969 -86.50164 -90.755318 -93.306519 -94.222 -93.869064 -92.963799 -92.47641 -92.985947 -94.494003 -96.504784 -98.345673 -99.036613 -97.554054 -93.520508 -87.019249 -78.804726 -69.835251 -61.357162 -54.101814 -48.287258 -43.667057 -39.381622 -34.478367 -28.158291 -20.43301 -12.019598 -0.00056181685 6.9927216 15.373161 23.589764 30.511221 36.352058 41.751736 47.338543 53.599842 60.476189 67.407921 73.80677 79.154915 83.250084 86.231728 88.603897 90.80442 93.151627
101.36957 100.59392 96.685219 90.457123 83.693878 78.187294 75.17247 74.917358 76.820663 79.739914 82.124512 81.971237 77.206924 66.911858 54.306091 42.040092 31.840742 24.550823 19.861292 17.352358 10.564391 -0.37564465 0.00045236817 -1.9429506 -13.751976 -25.844282 -36.300297 -44.311123 -50.224102 -54.826435 -58.952084 -63.527836 -68.788361 -74.776543 -80.903969 -86.50164 -90.755318 -93.306519 -94.222 -93.869064 -92.963799 -92.47641 -92.985947 -94.494003 -96.504784 -98.345673 -99.036613 -97.554054 -93.520508 -87.019249 -78.804726 -69.835251 -61.357162 -54.101814 -48.287258 -43.667057 -39.381622 -34.478367 -28.158291 -20.43301 -12.019598 -0.00056181685 6.9927216 15.373161 23.589764 30.511221 36.352058 41.751736 47.338543 53.599842 60.476189 67.407921 73.80677 79.154915 83.250084 86.231728 88.603897 90.80442 93.151627 95.763145
100.59392 96.685219 90.457123 83.693878 78.187294 75.17247 74.917358 76.820663 79.739914 82.124512 81.971237 77.206924 66.911858 54.306095 42.040092 31.840742 24.550823 19.861292 17.352358 10.564391 -0.37564465 0.00045236817 -1.9429504 -13.751976 -25.844282 -36.300297 -44.311123 -50.224102 -54.826431 -58.952087 -63.527836 -68.788361 -74.776543 -80.903969 -86.50164 -90.755318 -93.306519 -94.222 -93.869064 -92.963799 -92.47641 -92.985947 -94.494003 -96.504784 -98.345673 -99.036613 -97.554054 -93.520508 -87.019249 -78.804726 -69.835251 -61.357166 -54.10181 -48.287258 -43.667057 -39.381622 -34.478367 -28.158289 -20.43301 -12.019598 -0.00056181685 6.9927206 15.373162 23.589764 30.511223 36.352058 41.751736 47.338543 53.599842 60.476192 67.407921 73.80677 79.154915 83.250084 86.231728 88.603897 90.80442 93.151627 95.763145 98.389664
96.685219 90.457123 83.693878 78.187294 75.17247 74.917358 76.820663 79.739914 82.124512 81.971237 77.206924 66.911858 54.306087 42.040092 31.840744 24.550823 19.861292 17.352358 10.564391 -0.37564465 0.00045236817 -1.9429506 -13.751976 -25.844282 -36.300297 -44.311123 -50.224102 -54.826435 -58.952084 -63.527836 -68.788361 -74.776543 -80.903969 -86.50164 -90.755318 -93.306519 -94.222 -93.869064 -92.963799 -92.47641 -92.985947 -94.494003 -96.504784 -98.345673 -99.036613 -97.554054 -93.520508 -87.019249 -78.804726 -69.835251 -61.357166 -54.10181 -48.287258 -43.667057 -39.381622 -34.478367 -28.158291 -20.43301 -12.019598 -0.00056181685 6.9927211 15.37316 23.589764 30.511223 36.352058 41.751736 47.338543 53.599842 60.476196 67.407921 73.80677 79.154915 83.250084 86.231728 88.603897 90.80442 93.151627 95.763145 98.389664 100.60332
