t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,raw17,raw18,raw19,raw20,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,amp_1,amp_2,amp_3,amp_4,amp_5,mit_1,mit_2,mit_3,mit_4,mit_5,mit_6
0.6,-0.154384254895345,332.041683749132,-0.000464954439310659,-0.0143017475050799,29.4905395997866,42.6277740551419,-42.3551082441339,0.272665811008054,0.00201154737337979,0.0281751317502386,41.6834985332747,0.999371177292551,0.14015451750476,-0.000343103338450903,0.00343305445896513,400.169243834022,21.7064554589156,0.169243834022154,46.6177178710906,43.4699143837941,49.7532606132596,0,0.516943221334713,0.0469188128054153,345,20,0.862447163581879,0,20,0,0,6919.48984964617,6900,0.997183340091587,0.000361824050312043,-0.124829297357678,0.522262619951221,0.0404089191713055,-0.022450622127554,0.11538314595672,0,0,7.3973170259034e-05,0.118703465432888,0.0110344328020606,-2.61037128926667,-0.000388713759152837,0,-7.34674072265625,-7.4888916015625,-4.66522216796875,-10.6634521484375,-10.5546875,0,0,0,0,0,0,0,0,0,0,0.57684326171875,-0.4326171875,0.520965576171875,-0.0736083984375,-0.2718505859375,0,0,0,0,0,0,0.1,0,-0,0,-0,-0,0,0,1,333.855915423458,0,0
0.62,0.0835895864349799,331.678879451078,0.00025201962384014,-0.108655815841103,29.33056021628,42.289479345425,-42.342003994629,-0.0525246492039884,0.000469967614783091,0.0277999059315879,41.4577737284277,0.999413073834952,0.141323037414509,-0.00262087917582987,0.00371760429474843,400.00188891523,21.5512603833613,0.00188891523032453,46.3982820495354,43.4131885792145,49.4897168723529,0,0.51284841707188,0.0420462240776913,345,20,0.86280295697037,0,20,0,0,6874.67943557157,6900,1.00368316292647,0.000355978405200519,-0.122812549794162,-0.16735491879183,-0.219435821555209,-0.159979383506585,-0.0943540683360232,0,0,0.0064998228348786,0.231164012622381,0.0216789889155786,0.982344272966086,0.010404557002614,0,-8.1976318359375,-7.8558349609375,-6.30291748046875,-13.0216674804688,-11.1773681640625,0,0,0,0,0,0,0,0,0,0,-0.08880615234375,-0.57879638671875,0.325469970703125,-0.30316162109375,-0.42529296875,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,0,0,1,331.82575054787,0,0
0.64,-0.0470372908926544,331.812822069628,-0.000141758508906519,-0.0816218173068082,29.5397996241176,42.603812002394,-42.7685892364436,-0.164777234049652,0.00143979481882304,0.0291011796144221,41.7518817678337,0.999385065072617,0.140035090388928,-0.0019549254752319,0.0051180889540321,399.863500422108,21.8421775397193,-0.136499577892266,46.6574138787655,43.5423819268519,49.7863913912763,0,0.51226611119363,0.0419260526311194,345,20,0.863109320472016,0,20,0,0,6926.041107997,6900,0.99624011645456,0.000364968495324414,-0.12591413088694,-0.138388493122591,0.259131829230157,0.209239407837554,0.0270339985342948,0,0,-0.00744304647190519,0.10812401232792,0.0100149291503048,2.91040491935634,-0.0105243778473129,0,-8.59600830078125,-9.06610107421875,-5.90283203125,-12.5324096679688,-8.90032958984375,0,0,0,0,0,0,0,0,0,0,0.07489013671875,-0.43798828125,0.419281005859375,-0.37152099609375,-0.00787353515625,0,0,0,0,0,0,0.1,0,-0,0,-0,-0,0,0,1,332.72475567756,0,0
0.66,-0.00524834435784825,331.655093423625,-1.58247060332178e-05,-0.0645758437780852,29.4730443341008,42.4604636424512,-42.4893749287324,-0.0289112862812502,0.00107240948735713,0.0279182815321194,41.6588810414101,0.999375559868313,0.139923767273965,-0.00155010989646829,0.00402063171460476,400.108624002754,21.6468546442333,0.108624002754084,46.5686255671458,43.5277899264412,49.6248806551705,0,0.512448768019771,0.0416600161910097,345,20,0.862576480287134,0,20,0,0,6907.40328173999,6900,0.998928210582469,0.000360256883547017,-0.124288624823748,0.24512358064635,-0.0887883116197656,-0.0667552900167649,0.0170459735287231,0,0,0.0026880941279086,0.0763777430658571,0.00711618973446004,1.7929169665007,0.00010887927176062,0,-8.43756103515625,-8.6207275390625,-6.21282958984375,-12.976806640625,-10.3743896484375,0,0,0,0,0,0,0,0,0,0,-0.06365966796875,-0.50970458984375,0.354461669921875,-0.349365234375,-0.26849365234375,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,0,0,1,333.457195995829,0,0
0.68,0.0756984548402474,331.498451000481,0.000228352363674054,-0.0457780589409432,29.4146837339007,42.5075843274943,-42.3546854355584,0.152898891935862,0.00107247194397398,0.0289699111214681,41.5758378046894,0.999399582636138,0.137771507807317,-0.00110107363695218,0.00309151483214265,400.079329377163,21.5666841020759,0.0793293771627077,46.3864974359253,43.4078751720977,49.426274667155,0,0.51700084021957,0.0456090468134318,345,20,0.862638019293993,0,20,0,0,6890.66817645531,6900,1.00135426976103,0.000358377548941302,-0.123640254384782,-0.0292946255913762,-0.182128131220452,-0.0583606002001318,0.018797784837142,0,0,0.00242605917856442,0.115904955112392,0.0108289266159112,1.00500897739274,-8.27642694669617e-05,0,-8.672607421875,-8.162109375,-6.43963623046875,-13.1312255859375,-11.091796875,0,0,0,0,0,0,0,0,0,0,-0.10821533203125,-0.53271484375,0.432159423828125,-0.275634765625,-0.406982421875,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,0,0,1,333.208609341749,0,0
0.7,-0.0747254050830814,331.664692480479,-0.000225304069975672,-0.100686936239559,29.4903083301655,42.3198696094969,-42.5478915666633,-0.22802195716644,0.00275210402125265,0.0283491056857987,41.6826846113638,0.999372964212865,0.13817836107952,-0.00241555785521812,0.00342003041046945,399.889481804247,21.7796291470478,-0.1105181957534,46.4929963887686,43.3989852305791,49.6297969191027,0,0.516377167651383,0.0459572598510981,345,20,0.863050550474613,0,20,0,0,6911.52921998882,6900,0.998331885806765,0.000361847536703763,-0.124837400162789,-0.189847572916108,0.106498952843296,0.0756245962647633,-0.0549088772986162,0,0,-0.00302238395426879,0.12830680368428,0.011934983151984,2.05817125703829,-0.000213159279978559,0,-8.2994384765625,-8.7542724609375,-6.0382080078125,-12.934814453125,-10.1465454101562,0,0,0,0,0,0,0,0,0,0,-0.02447509765625,-0.506591796875,0.346771240234375,-0.36175537109375,-0.231689453125,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,0,0,1,333.611928457898,0,0
0.72,0.0277911816017092,331.459234570856,8.38449459333689e-05,2.39879590977001,23.1450187098389,37.7453778881303,-27.9482426185727,9.79713526955765,0.0926345601801438,0.042836731636019,32.3444891324025,0.999472126239135,0.161884888285274,0.074163975815185,0.0221540377702261,408.987493271954,23.4569412354469,8.98749327195407,38.1845764309101,27.9901582399183,46.0419863437137,0,0.516921253610602,0.0335932078089285,342.506322627153,20.012645254306,0.836873230976763,0,20,2.6689565355851,5.33791307117021,5358.95015370009,6854.54167943481,1.27908293282073,-0.000687980594804571,0.235637703565374,9.09801146770747,-8.30841995785853,-6.34528962032652,2.49948284600957,-2.49367737284723,0.0126452543059585,0.280751047013965,4.80804236160547,0.575383436606412,-1.78335870549857,0.000406526113391203,0,-2.753662109375,-1.21051025390625,-1.94580078125,1.82586669921875,0.5028076171875,0,0,0,0,0,0,0,0,0,0,0.0892333984375,-0.110107421875,0.340423583984375,-0.204345703125,0.51025390625,0,0,0,0,0,0,0.1,0,-0,0,-0,0,0,0,1,332.25309310372,0,0
0.74,-0.0223740451512383,331.519925590168,-6.74892922692603e-05,-1.28355237254646,18.3015591886666,24.0544842202152,-28.8916266401388,-4.83714241992362,0.0561963129022502,0.033126283712019,25.7531109545322,0.999417926588008,0.202553779736336,-0.0498406726400008,0.0148158972831789,399.462794377241,27.6642590138272,-0.53720562275879,30.1847678117048,27.2844203827292,34.1089362979662,0,0.507922492250837,0.0380118632203378,342.499999978049,19.9999999560987,0.857649026531486,0,20,2.94885523999255e-07,5.89771040893083e-07,4268.19291862629,6849.9999845248,1.60489465099658,0.000288691255897477,-0.0988767551385195,-9.52469889471286,-7.99980861920531,-4.84345952117239,-3.68234828231647,-0.0063226491033106,-0.0126452982072394,0.325811718175846,6.48106729051608,1.00809699322261,0.841267578127484,0.0176128118437611,0,-4.10198974609375,-4.62261962890625,-2.1002197265625,-3.2181396484375,1.5382080078125,0,0,0,0,0,0,0,0,0,0,0.3448486328125,-0.1890869140625,0.698394775390625,-0.54534912109375,1.01129150390625,0,0,0,0,1,0,0.1,0,-0,0,-0,1.01129150390625,0,0,1,332.021927466183,0,0
0.76,0.00147766457661248,331.491371183713,4.45762606530581e-06,-0.294891390317107,24.230746713629,34.3860424849084,-36.047216934783,-1.66117444987459,0.0249232449363486,0.0375047986616786,34.2186179676171,0.999143393097264,0.162762048999898,-0.00861786383646991,0.00338500639190098,395.922128022017,26.6644501899652,-4.07787197798331,38.6687350804247,32.6585392136829,42.5317946236316,0,0.50662622920729,0.0402197109267602,342.5,20,0.865374331053582,0,20,2.27373675443232e-13,5.04485342389671e-13,5670.96266374009,6849.99999999999,1.20790779382108,0.000352837040476617,-0.120846686363222,-3.54066635522452,8.48396726871991,5.92918752496243,0.988660982229351,2.19505409404519e-08,4.3901245305733e-08,-0.3969868571755,3.46079843333429,0.356450266551107,-2.69727233459355,0.00230254188817225,0,-5.72418212890625,-4.3565673828125,-1.90777587890625,-1.63629150390625,0.024658203125,0,0,0,0,0,0,0,0,0,0,0.486328125,-0.357177734375,0.666839599609375,-0.14312744140625,0.6697998046875,0,0,0,0,1,0,0.1,0,-0,0,-0,0.6697998046875,0,0,1,333.600733715241,0,0
0.78,0.162749721715664,331.14409419095,0.000491477047517012,-3.29877822327149,32.6125527773879,40.6965963333055,-53.1847117201846,-12.4881153868791,0.0849959891787538,0.0473961759853211,45.6043656779738,0.999143092101817,0.133354921572589,-0.0723347024836429,-0.011367749343187,389.020970550287,39.9164419104301,-10.979029449713,49.1082307799664,36.4501034718916,60.0675806813932,0,0.503583971219786,0.0477240095259384,346.534934431348,28.0698688626959,0.892694445560139,0,20,4.31829103183696,8.63658206367392,7549.2661458074,9727.41039049853,1.28852397075718,0.00214098237029181,-0.741925185307707,-6.90115747172968,10.4394956995417,8.38180606375895,-3.00388683295439,4.03493443134795,8.06986886269592,0.0806161769361082,7.38294595331425,0.616194836982577,1.26750628223177,0.000478556477750636,0,-4.65435791015625,-6.8431396484375,-4.22943115234375,2.5205078125,5.22821044921875,0,0,0,0,0,0,0,0,0,0,0.451904296875,-0.445556640625,0.191253662109375,0.99114990234375,0.48248291015625,0,0,0,1,1,0,0.1,0,-0,0,0.99114990234375,0.48248291015625,0,0,1,334.182933810768,0,0
