t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,raw17,raw18,raw19,raw20,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,amp_1,amp_2,amp_3,amp_4,amp_5,mit_1,mit_2,mit_3,mit_4,mit_5,mit_6
0.6,-0.154384254895345,332.041683749132,-0.000464954439310659,-0.0143017475050799,29.4905395997866,42.6277740551419,-42.3551082441339,0.272665811008054,0.00201154737337979,0.0281751317502386,41.6834985332747,0.999371177292551,0.14015451750476,-0.000343103338450903,0.00343305445896513,400.169243834022,21.7064554589156,0.169243834022154,46.6177178710906,43.4699143837941,49.7532606132596,0,0.516943221334713,0.0469188128054153,345,20,0.862447163581879,0,20,0,0,6919.48984964617,6900,0.997183340091587,0.000361824050312043,-0.124829297357678,0.522262619951221,0.0404089191713055,-0.022450622127554,0.11538314595672,0,0,7.3973170259034e-05,0.118703465432888,0.0110344328020606,-2.61037128926667,-0.000388713759152837,0,-7.34674072265625,-7.4888916015625,-4.66522216796875,-10.6634521484375,-10.5546875,0,0,0,0,0,0,0,0,0,0,0.57684326171875,-0.4326171875,0.520965576171875,-0.0736083984375,-0.2718505859375,0,0,0,0,0,0,0.1,0,-0,0,-0,-0,0,0,1,333.855915423458,0,0
0.62,0.0835895864349799,331.678879451078,0.00025201962384014,-0.108655815841103,29.33056021628,42.289479345425,-42.342003994629,-0.0525246492039884,0.000469967614783091,0.0277999059315879,41.4577737284277,0.999413073834952,0.141323037414509,-0.00262087917582987,0.00371760429474843,400.00188891523,21.5512603833613,0.00188891523032453,46.3982820495354,43.4131885792145,49.4897168723529,0,0.51284841707188,0.0420462240776913,345,20,0.86280295697037,0,20,0,0,6874.67943557157,6900,1.00368316292647,0.000355978405200519,-0.122812549794162,-0.16735491879183,-0.219435821555209,-0.159979383506585,-0.0943540683360232,0,0,0.0064998228348786,0.231164012622381,0.0216789889155786,0.982344272966086,0.010404557002614,0,-8.1976318359375,-7.8558349609375,-6.30291748046875,-13.0216674804688,-11.1773681640625,0,0,0,0,0,0,0,0,0,0,-0.08880615234375,-0.57879638671875,0.325469970703125,-0.30316162109375,-0.42529296875,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,0,0,1,331.82575054787,0,0
0.64,-0.0470372908926544,331.812822069628,-0.000141758508906519,-0.0816218173068082,29.5397996241176,42.603812002394,-42.7685892364436,-0.164777234049652,0.00143979481882304,0.0291011796144221,41.7518817678337,0.999385065072617,0.140035090388928,-0.0019549254752319,0.0051180889540321,399.863500422108,21.8421775397193,-0.136499577892266,46.6574138787655,43.5423819268519,49.7863913912763,0,0.51226611119363,0.0419260526311194,345,20,0.863109320472016,0,20,0,0,6926.041107997,6900,0.99624011645456,0.000364968495324414,-0.12591413088694,-0.138388493122591,0.259131829230157,0.209239407837554,0.0270339985342948,0,0,-0.00744304647190519,0.10812401232792,0.0100149291503048,2.91040491935634,-0.0105243778473129,0,-8.59600830078125,-9.06610107421875,-5.90283203125,-12.5324096679688,-8.90032958984375,0,0,0,0,0,0,0,0,0,0,0.07489013671875,-0.43798828125,0.419281005859375,-0.37152099609375,-0.00787353515625,0,0,0,0,0,0,0.1,0,-0,0,-0,-0,0,0,1,332.72475567756,0,0
0.66,-0.00524834435784825,331.655093423625,-1.58247060332178e-05,-0.0645758437780852,29.4730443341008,42.4604636424512,-42.4893749287324,-0.0289112862812502,0.00107240948735713,0.0279182815321194,41.6588810414101,0.999375559868313,0.139923767273965,-0.00155010989646829,0.00402063171460476,400.108624002754,21.6468546442333,0.108624002754084,46.5686255671458,43.5277899264412,49.6248806551705,0,0.512448768019771,0.0416600161910097,345,20,0.862576480287134,0,20,0,0,6907.40328173999,6900,0.998928210582469,0.000360256883547017,-0.124288624823748,0.24512358064635,-0.0887883116197656,-0.0667552900167649,0.0170459735287231,0,0,0.0026880941279086,0.0763777430658571,0.00711618973446004,1.7929169665007,0.00010887927176062,0,-8.43756103515625,-8.6207275390625,-6.21282958984375,-12.976806640625,-10.3743896484375,0,0,0,0,0,0,0,0,0,0,-0.06365966796875,-0.50970458984375,0.354461669921875,-0.349365234375,-0.26849365234375,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,0,0,1,333.457195995829,0,0
0.68,0.0756984548402474,331.498451000481,0.000228352363674054,-0.0457780589409432,29.4146837339007,42.5075843274943,-42.3546854355584,0.152898891935862,0.00107247194397398,0.0289699111214681,41.5758378046894,0.999399582636138,0.137771507807317,-0.00110107363695218,0.00309151483214265,400.079329377163,21.5666841020759,0.0793293771627077,46.3864974359253,43.4078751720977,49.426274667155,0,0.51700084021957,0.0456090468134318,345,20,0.862638019293993,0,20,0,0,6890.66817645531,6900,1.00135426976103,0.000358377548941302,-0.123640254384782,-0.0292946255913762,-0.182128131220452,-0.0583606002001318,0.018797784837142,0,0,0.00242605917856442,0.115904955112392,0.0108289266159112,1.00500897739274,-8.27642694669617e-05,0,-8.672607421875,-8.162109375,-6.43963623046875,-13.1312255859375,-11.091796875,0,0,0,0,0,0,0,0,0,0,-0.10821533203125,-0.53271484375,0.432159423828125,-0.275634765625,-0.406982421875,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,0,0,1,333.208609341749,0,0
0.7,-0.0747254050830814,331.664692480479,-0.000225304069975672,-0.100686936239559,29.4903083301655,42.3198696094969,-42.5478915666633,-0.22802195716644,0.00275210402125265,0.0283491056857987,41.6826846113638,0.999372964212865,0.13817836107952,-0.00241555785521812,0.00342003041046945,399.889481804247,21.7796291470478,-0.1105181957534,46.4929963887686,43.3989852305791,49.6297969191027,0,0.516377167651383,0.0459572598510981,345,20,0.863050550474613,0,20,0,0,6911.52921998882,6900,0.998331885806765,0.000361847536703763,-0.124837400162789,-0.189847572916108,0.106498952843296,0.0756245962647633,-0.0549088772986162,0,0,-0.00302238395426879,0.12830680368428,0.011934983151984,2.05817125703829,-0.000213159279978559,0,-8.2994384765625,-8.7542724609375,-6.0382080078125,-12.934814453125,-10.1465454101562,0,0,0,0,0,0,0,0,0,0,-0.02447509765625,-0.506591796875,0.346771240234375,-0.36175537109375,-0.231689453125,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,0,0,1,333.611928457898,0,0
0.72,0.00433910297916796,331.529737558056,1.30881260038042e-05,-0.070999397937566,12.9433340220725,20.1506119734788,-22.4074497552605,-2.2568377817817,0.164218471753186,0.10021323459306,17.8515268335118,0.996275056056879,0.233998635264202,-0.0039772171086387,0.0553209919550355,421.039726557918,64.9452638126386,21.0397265579179,14.9316493991359,8.24119026977659,43.5668350716095,0,0.455371270796728,-0.0377344049636306,343.877772196229,17.7555443924577,0.927751675766933,0,20,4.86656045843631,9.73312091687266,2955.59168363076,6112.2154966617,2.06801755821468,0.135927772777525,-46.7425396823306,21.1502447536713,-31.5613469896327,-16.5469743080929,0.0296875383019933,-1.12222780377118,-2.2444556075423,1.06968567240792,24.3686610235864,2.62169708763889,0.665748533390342,0.0289556733861406,0,1.4710693359375,-5.1478271484375,-0.91796875,-1.76226806640625,-0.466552734375,0,0,0,0,0,0,0,0,0,0,0.80712890625,0.63946533203125,0.441314697265625,-1.226806640625,0.37396240234375,0,0,0,0,0,0,0.1,0,0,0,-0,0,0,0,0,332.25309310372,0,0
0.74,-0.0130981085148647,331.568115014064,-3.95035225697416e-05,-0.460024180137168,15.1189210385936,20.5099387011431,-23.0164229505187,-2.50648424937557,0.0421750494537857,0.0316594072796384,21.3252885550432,0.997242356652019,0.255972000213255,-0.0215717681357412,0.0429349324527593,397.440638282693,19.753136973756,-2.55936171730673,16.2087223720068,13.0240768624449,19.8830022181609,0,0.424295250054644,-0.0472141386306298,339.86211568663,9.72423137325919,0.978990627342986,0,20,10.0478758995438,20.0957517990876,3532.20325103371,3331.22335578019,0.943100699203901,0.144848577835408,-49.2285441173411,-23.5990882752246,1.27707297287091,2.17558701652106,-0.389024782199602,-4.01565650959918,-8.03131301919851,-1.12491685901078,0.622426701115995,0.0681595022597726,1.69061725670083,0.0104987854840529,0,1.15582275390625,-5.73260498046875,-2.58685302734375,-4.10986328125,-2.85675048828125,0,0,0,0,0,0,0,0,0,0,0.68572998046875,0.493896484375,0.267364501953125,-1.9781494140625,-0.61669921875,1,0,0,0,1,0,0.1,0.68572998046875,0,0,-0,-0.61669921875,0,0,1,332.484186439923,0,0
0.76,-0.018991658722661,331.589434859738,-5.72746195327195e-05,-0.271254039254259,17.1504223318942,24.1103696995217,-25.135876123244,-1.02550642372229,0.0145028350999405,0.0351610554517823,24.2223914719593,0.997497364787361,0.226438663533947,-0.011198483005622,0.0334746107927861,398.678489696168,20.9838135674358,-1.32151030383181,19.1162801226368,15.8225624423219,22.5582095331232,0,0.436216843652993,-0.0363152161679359,340.745977721725,11.4919554434504,0.977250998686339,0,20,10.0557407377215,20.1114814754429,4013.73859180442,3944.42336806302,0.982730508687602,0.14340000376621,-48.8629744886164,1.23785141347491,2.90755775062997,2.03150129330063,0.188770140882909,0.883862035095603,1.76772407019121,0.0396298094837011,0.28012980640023,0.026958926106197,-2.45523119198322,-0.0101665090491055,0,2.34423828125,-6.26239013671875,-2.6822509765625,-2.33148193359375,-2.67041015625,0,0,0,0,0,0,0,0,0,0,0.50323486328125,0.51739501953125,-0.082244873046875,-2.07550048828125,-0.66259765625,1,0,0,0,1,0,0.1,0.50323486328125,0,-0,-0,-0.66259765625,1,0.499641106622336,1,333.838642761847,0,0
0.78,0.227993489893409,331.099173209093,0.000688595769308758,-3.14491616176927,38.0963604818115,48.4125894090154,-62.0849323439522,-13.6723429349367,0.111086079857275,0.062175976793023,53.1045861429795,0.998775918700757,0.0682360708469017,-0.0592211782481809,-0.00812197493726341,419.942552329453,74.4747722068228,19.9425523294534,46.8239965283925,17.4855315315877,61.8829693583781,0,0.479319651418494,-0.0213012929275139,343.408446275078,16.8168925501569,0.930652972139933,0,20,9.26338569168013,18.5267713833603,8791.05004651186,5792.43835358626,0.658901760647421,0.13806398384383,-47.4123381783571,21.2640626332852,27.7077164057557,20.9459381499173,-2.87366212251501,2.66246855335299,5.3249371067065,-0.323828748040181,15.8679300597972,0.767661289715748,-2.41853394640406,-0.0237600245681431,0,1.1915283203125,-6.32904052734375,-0.15167236328125,-2.2691650390625,-4.537353515625,0,0,0,0,0,0,0,0,0,0,0.4100341796875,0.8486328125,-0.757720947265625,-1.5579833984375,-0.7869873046875,1,0,0,1,0,0,0.1,0.4100341796875,0,-0,-1.5579833984375,-0,1,50.0407835463655,1,334.574981053631,0,0
