t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,raw17,raw18,raw19,raw20,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,amp_1,amp_2,amp_3,amp_4,amp_5,mit_1,mit_2,mit_3,mit_4,mit_5,mit_6
0.6,-0.154384254895345,332.041683749132,-0.000464954439310659,-0.0143017475050799,29.4905395997866,42.6277740551419,-42.3551082441339,0.272665811008054,0.00201154737337979,0.0281751317502386,41.6834985332747,0.999371177292551,0.14015451750476,-0.000343103338450903,0.00343305445896513,400.169243834022,21.7064554589156,0.169243834022154,46.6177178710906,43.4699143837941,49.7532606132596,0,0.516943221334713,0.0469188128054153,345,20,0.862447163581879,0,20,0,0,6919.48984964617,6900,0.997183340091587,0.000361824050312043,-0.124829297357678,0.522262619951221,0.0404089191713055,-0.022450622127554,0.11538314595672,0,0,7.3973170259034e-05,0.118703465432888,0.0110344328020606,-2.61037128926667,-0.000388713759152837,0,-7.34674072265625,-7.4888916015625,-4.66522216796875,-10.6634521484375,-10.5546875,0,0,0,0,0,0,0,0,0,0,0.57684326171875,-0.4326171875,0.520965576171875,-0.0736083984375,-0.2718505859375,0,0,0,0,0,0,0.1,0,-0,0,-0,-0,0,0,1,333.855915423458,0,0
0.62,0.0835895864349799,331.678879451078,0.00025201962384014,-0.108655815841103,29.33056021628,42.289479345425,-42.342003994629,-0.0525246492039884,0.000469967614783091,0.0277999059315879,41.4577737284277,0.999413073834952,0.141323037414509,-0.00262087917582987,0.00371760429474843,400.00188891523,21.5512603833613,0.00188891523032453,46.3982820495354,43.4131885792145,49.4897168723529,0,0.51284841707188,0.0420462240776913,345,20,0.86280295697037,0,20,0,0,6874.67943557157,6900,1.00368316292647,0.000355978405200519,-0.122812549794162,-0.16735491879183,-0.219435821555209,-0.159979383506585,-0.0943540683360232,0,0,0.0064998228348786,0.231164012622381,0.0216789889155786,0.982344272966086,0.010404557002614,0,-8.1976318359375,-7.8558349609375,-6.30291748046875,-13.0216674804688,-11.1773681640625,0,0,0,0,0,0,0,0,0,0,-0.08880615234375,-0.57879638671875,0.325469970703125,-0.30316162109375,-0.42529296875,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,0,0,1,331.82575054787,0,0
0.64,-0.0470372908926544,331.812822069628,-0.000141758508906519,-0.0816218173068082,29.5397996241176,42.603812002394,-42.7685892364436,-0.164777234049652,0.00143979481882304,0.0291011796144221,41.7518817678337,0.999385065072617,0.140035090388928,-0.0019549254752319,0.0051180889540321,399.863500422108,21.8421775397193,-0.136499577892266,46.6574138787655,43.5423819268519,49.7863913912763,0,0.51226611119363,0.0419260526311194,345,20,0.863109320472016,0,20,0,0,6926.041107997,6900,0.99624011645456,0.000364968495324414,-0.12591413088694,-0.138388493122591,0.259131829230157,0.209239407837554,0.0270339985342948,0,0,-0.00744304647190519,0.10812401232792,0.0100149291503048,2.91040491935634,-0.0105243778473129,0,-8.59600830078125,-9.06610107421875,-5.90283203125,-12.5324096679688,-8.90032958984375,0,0,0,0,0,0,0,0,0,0,0.07489013671875,-0.43798828125,0.419281005859375,-0.37152099609375,-0.00787353515625,0,0,0,0,0,0,0.1,0,-0,0,-0,-0,0,0,1,332.72475567756,0,0
0.66,-0.00524834435784825,331.655093423625,-1.58247060332178e-05,-0.0645758437780852,29.4730443341008,42.4604636424512,-42.4893749287324,-0.0289112862812502,0.00107240948735713,0.0279182815321194,41.6588810414101,0.999375559868313,0.139923767273965,-0.00155010989646829,0.00402063171460476,400.108624002754,21.6468546442333,0.108624002754084,46.5686255671458,43.5277899264412,49.6248806551705,0,0.512448768019771,0.0416600161910097,345,20,0.862576480287134,0,20,0,0,6907.40328173999,6900,0.998928210582469,0.000360256883547017,-0.124288624823748,0.24512358064635,-0.0887883116197656,-0.0667552900167649,0.0170459735287231,0,0,0.0026880941279086,0.0763777430658571,0.00711618973446004,1.7929169665007,0.00010887927176062,0,-8.43756103515625,-8.6207275390625,-6.21282958984375,-12.976806640625,-10.3743896484375,0,0,0,0,0,0,0,0,0,0,-0.06365966796875,-0.50970458984375,0.354461669921875,-0.349365234375,-0.26849365234375,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,0,0,1,333.457195995829,0,0
0.68,0.0756984548402474,331.498451000481,0.000228352363674054,-0.0457780589409432,29.4146837339007,42.5075843274943,-42.3546854355584,0.152898891935862,0.00107247194397398,0.0289699111214681,41.5758378046894,0.999399582636138,0.137771507807317,-0.00110107363695218,0.00309151483214265,400.079329377163,21.5666841020759,0.0793293771627077,46.3864974359253,43.4078751720977,49.426274667155,0,0.51700084021957,0.0456090468134318,345,20,0.862638019293993,0,20,0,0,6890.66817645531,6900,1.00135426976103,0.000358377548941302,-0.123640254384782,-0.0292946255913762,-0.182128131220452,-0.0583606002001318,0.018797784837142,0,0,0.00242605917856442,0.115904955112392,0.0108289266159112,1.00500897739274,-8.27642694669617e-05,0,-8.672607421875,-8.162109375,-6.43963623046875,-13.1312255859375,-11.091796875,0,0,0,0,0,0,0,0,0,0,-0.10821533203125,-0.53271484375,0.432159423828125,-0.275634765625,-0.406982421875,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,0,0,1,333.208609341749,0,0
0.7,-0.0747254050830814,331.664692480479,-0.000225304069975672,-0.100686936239559,29.4903083301655,42.3198696094969,-42.5478915666633,-0.22802195716644,0.00275210402125265,0.0283491056857987,41.6826846113638,0.999372964212865,0.13817836107952,-0.00241555785521812,0.00342003041046945,399.889481804247,21.7796291470478,-0.1105181957534,46.4929963887686,43.3989852305791,49.6297969191027,0,0.516377167651383,0.0459572598510981,345,20,0.863050550474613,0,20,0,0,6911.52921998882,6900,0.998331885806765,0.000361847536703763,-0.124837400162789,-0.189847572916108,0.106498952843296,0.0756245962647633,-0.0549088772986162,0,0,-0.00302238395426879,0.12830680368428,0.011934983151984,2.05817125703829,-0.000213159279978559,0,-8.2994384765625,-8.7542724609375,-6.0382080078125,-12.934814453125,-10.1465454101562,0,0,0,0,0,0,0,0,0,0,-0.02447509765625,-0.506591796875,0.346771240234375,-0.36175537109375,-0.231689453125,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,0,0,1,333.611928457898,0,0
0.72,34.0008561877083,331.464101260803,0.102577793668689,-8.30412965112635,33.3580395250565,36.3561241764893,-56.8148716570523,-20.458747480563,0.0583733527476064,0.0309346035591903,45.5249085828977,0.997271034106043,0.249221464875427,-0.182408486027053,0.0146530358950274,396.740467245504,41.2369727206128,-3.25953275449569,50.2252736559451,43.5323863501287,57.6764261432287,0,0.504491469847767,0.0400019926176416,345,20,0.870197607679354,0,20,0,0,7258.6763580888,6900,0.950586533908609,0.000703204251092604,-0.242605466626912,-3.14901455874229,3.73227726717651,3.867731194891,-8.20344271488679,0,0,-0.0477453518981553,7.85219567184734,0.627866477840518,1.98039233045295,-0.0167925120788304,0,-3.25390625,4.87445068359375,-5.14923095703125,-4.543701171875,-0.74798583984375,0,0,0,0,0,0,0,0,0,0,0.98907470703125,0.81396484375,1.60171508789062,0.0648193359375,-0.1253662109375,0,0,0,0,0,0,0.1,0,0,0,0,-0,0,0,1,332.25309310372,0,0
0.74,33.9725075848021,331.466919400172,0.102491396867836,-7.05204369792508,29.6140266405155,33.3881915976351,-49.5031511918088,-16.1149595941737,0.0337393970003711,0.0324544503632476,40.5783862828736,0.997807354533103,0.26871240620393,-0.173788175033995,-0.00735735211323529,404.367378174349,33.8439851636254,4.36737817434857,45.5946181585976,39.916209596684,49.5842592247904,0,0.513760584005679,0.0395621500009947,345,20,0.853625931034566,0,20,0,0,6484.27570261391,6900,1.06411268065275,0.00051733238865137,-0.178479674084713,7.62691092884427,-4.63065549734748,-3.74401288454098,1.25208595320127,0,0,0.113526146744144,8.17030832280252,0.81244013760779,1.45262889148316,-0.00948442902840341,0,-3.941162109375,4.5142822265625,-4.63482666015625,-5.68048095703125,-0.464599609375,0,0,0,0,0,0,0,0,0,0,1.26922607421875,0.89996337890625,1.61624145507812,-0.43280029296875,-0.0255126953125,0,1,0,0,1,0,0.1,0,0.89996337890625,0,-0,-0.0255126953125,0,0,1,335.74925512344,0,0
0.76,34.0062815969561,331.391157324102,0.102616744126633,-8.61770599590183,30.1358491868985,30.3811567520709,-52.8524513436704,-22.4712945915995,0.083099761114963,0.0270435593651129,40.6321851026535,0.997525022695164,0.264023723647416,-0.212090636379264,-0.00711500062150527,398.088820806095,39.1949813983967,-1.91117919390541,44.8545061843107,39.2424700345854,52.448832279525,0,0.506742619222064,0.0404550146362672,345,20,0.867255086100741,0,20,0,0,6437.59103380539,6900,1.07182950326704,0.0007088538084985,-0.244554563931956,-6.27855736825398,-0.740111974286954,0.521822546383028,-1.56566229797675,0,0,0.00771682261428897,10.766047906754,1.03872246095092,1.49749671843104,-0.0130679924775395,0,-3.73187255859375,4.4085693359375,-4.304443359375,-4.34918212890625,-0.09033203125,0,0,0,0,0,0,0,0,0,0,1.07330322265625,0.88299560546875,1.31790161132812,-0.32720947265625,0.0009765625,0,1,0,0,1,0,0.1,0,0.88299560546875,0,-0,0.0009765625,0,0,1,336.631367296669,0,0
0.78,34.1022649015084,331.147127004122,0.102982215820595,-7.90137237173228,31.7083328397294,35.0252141736062,-53.752336582422,-18.7271224088158,0.0555646644502746,0.0296673889242943,43.293183290914,0.997685431215986,0.257718408482178,-0.182508463714438,-0.00986973080907472,399.356218991988,36.9579492631553,-0.643781008012354,47.8739418972481,43.3183942455699,54.2018740557759,0,0.510238156263256,0.0420163533062187,345,20,0.864415697768214,0,20,0,0,6896.37851948216,6900,1.0005251278635,0.00060807158850662,-0.209784698034753,1.26739818589306,3.0194357129374,1.5724836528309,0.716333624169551,0,0,-0.0713043754035405,8.03155749566954,0.707927098463294,1.74634490697986,-0.0151564012504611,0,-4.1163330078125,4.1441650390625,-4.3896484375,-4.64898681640625,-0.3057861328125,0,0,0,0,0,0,0,0,0,0,1.07501220703125,0.90582275390625,1.25839233398438,-0.31219482421875,0.03680419921875,0,1,0,0,1,0,0.1,0,0.90582275390625,0,-0,0.03680419921875,0,0,1,337.733345344223,0,0
